,DiffCorr,GPSTime,ResCorr,SigCorr,Timeshift,AbsSig
0,0.139169346993,1135136350.55,-0.155710640655,-0.294879987648,0.0,0.294879987648
1,0.139169346993,1135136350.55,-0.155710640655,-0.294879987648,0.000100050025013,0.294879987648
2,0.147491421116,1135136350.55,-0.17132114082,-0.318812561936,0.000200100050025,0.318812561936
3,0.148666967344,1135136350.55,-0.174274858793,-0.322941826137,0.000300150075038,0.322941826137
4,0.148666967344,1135136350.55,-0.174274858793,-0.322941826137,0.00040020010005,0.322941826137
5,0.158117005127,1135136350.55,-0.193299856272,-0.351416861399,0.000500250125063,0.351416861399
6,0.158117005127,1135136350.55,-0.193299856272,-0.351416861399,0.000600300150075,0.351416861399
7,0.166313922965,1135136350.55,-0.203906909788,-0.370220832753,0.000700350175088,0.370220832753
8,0.166313922965,1135136350.55,-0.203906909788,-0.370220832753,0.0008004002001,0.370220832753
9,0.166313922965,1135136350.55,-0.203906909788,-0.370220832753,0.000900450225113,0.370220832753
10,0.172131845404,1135136350.55,-0.206891149876,-0.379022995279,0.00100050025013,0.379022995279
11,0.172131845404,1135136350.55,-0.206891149876,-0.379022995279,0.00110055027514,0.379022995279
12,0.174041027099,1135136350.55,-0.211736806812,-0.385777833911,0.00120060030015,0.385777833911
13,0.174041027099,1135136350.55,-0.211736806812,-0.385777833911,0.00130065032516,0.385777833911
14,0.168690571841,1135136350.55,-0.22648706355,-0.395177635391,0.00140070035018,0.395177635391
15,0.170123556687,1135136350.55,-0.226249017548,-0.396372574236,0.00150075037519,0.396372574236
16,0.170123556687,1135136350.55,-0.226249017548,-0.396372574236,0.0016008004002,0.396372574236
17,0.159376869415,1135136350.55,-0.247839247428,-0.407216116842,0.00170085042521,0.407216116842
18,0.159376869415,1135136350.55,-0.247839247428,-0.407216116842,0.00180090045023,0.407216116842
19,0.150523015223,1135136350.55,-0.267788840095,-0.418311855318,0.00190095047524,0.418311855318
20,0.14346388455,1135136350.55,-0.264009064879,-0.407472949428,0.00200100050025,0.407472949428
21,0.14346388455,1135136350.55,-0.264009064879,-0.407472949428,0.00210105052526,0.407472949428
22,0.126250526038,1135136350.55,-0.262811262258,-0.389061788296,0.00220110055028,0.389061788296
23,0.126250526038,1135136350.55,-0.262811262258,-0.389061788296,0.00230115057529,0.389061788296
24,0.120588942382,1135136350.55,-0.256787001734,-0.377375944115,0.0024012006003,0.377375944115
25,0.111382996741,1135136350.55,-0.242710765122,-0.354093761864,0.00250125062531,0.354093761864
26,0.111382996741,1135136350.55,-0.242710765122,-0.354093761864,0.00260130065033,0.354093761864
27,0.100810772068,1135136350.55,-0.211960437695,-0.312771209763,0.00270135067534,0.312771209763
28,0.100810772068,1135136350.55,-0.211960437695,-0.312771209763,0.00280140070035,0.312771209763
29,0.0945912504824,1135136350.55,-0.181938475642,-0.276529726124,0.00290145072536,0.276529726124
30,0.0945912504824,1135136350.55,-0.181938475642,-0.276529726124,0.00300150075038,0.276529726124
31,0.0927542353016,1135136350.55,-0.171168477758,-0.26392271306,0.00310155077539,0.26392271306
32,0.0911263735823,1135136350.55,-0.161621624816,-0.252747998398,0.0032016008004,0.252747998398
33,0.0911263735823,1135136350.55,-0.161621624816,-0.252747998398,0.00330165082541,0.252747998398
34,0.0879920865224,1135136350.55,-0.155204002412,-0.243196088935,0.00340170085043,0.243196088935
35,0.0879920865224,1135136350.55,-0.155204002412,-0.243196088935,0.00350175087544,0.243196088935
36,0.0851791794325,1135136350.55,-0.165852845547,-0.251032024979,0.00360180090045,0.251032024979
37,0.0831565066303,1135136350.55,-0.162836073876,-0.245992580506,0.00370185092546,0.245992580506
38,0.0831565066303,1135136350.55,-0.162836073876,-0.245992580506,0.00380190095048,0.245992580506
39,0.0759558173464,1135136350.55,-0.181883041941,-0.257838859287,0.00390195097549,0.257838859287
40,0.0759558173464,1135136350.55,-0.181883041941,-0.257838859287,0.0040020010005,0.257838859287
41,0.0715233383023,1135136350.55,-0.201728635919,-0.273251974222,0.00410205102551,0.273251974222
42,0.0676923805615,1135136350.55,-0.206021604843,-0.273713985404,0.00420210105053,0.273713985404
43,0.0676923805615,1135136350.55,-0.206021604843,-0.273713985404,0.00430215107554,0.273713985404
44,0.0611409359908,1135136350.55,-0.224859253356,-0.286000189347,0.00440220110055,0.286000189347
45,0.0611409359908,1135136350.55,-0.224859253356,-0.286000189347,0.00450225112556,0.286000189347
46,0.0569226550555,1135136350.55,-0.227993181443,-0.284915836499,0.00460230115058,0.284915836499
47,0.0582570389067,1135136350.55,-0.228761319302,-0.287018358208,0.00470235117559,0.287018358208
48,0.0582570389067,1135136350.55,-0.228761319302,-0.287018358208,0.0048024012006,0.287018358208
49,0.0578838626084,1135136350.55,-0.2164310077,-0.274314870308,0.00490245122561,0.274314870308
50,0.0578838626084,1135136350.56,-0.2164310077,-0.274314870308,0.00500250125063,0.274314870308
51,0.0558768110423,1135136350.56,-0.197305092419,-0.253181903461,0.00510255127564,0.253181903461
52,0.0558768110423,1135136350.56,-0.197305092419,-0.253181903461,0.00520260130065,0.253181903461
53,0.0480616238717,1135136350.56,-0.187856323724,-0.235917947596,0.00530265132566,0.235917947596
54,0.0478483164501,1135136350.56,-0.185287393284,-0.233135709734,0.00540270135068,0.233135709734
55,0.0478483164501,1135136350.56,-0.185287393284,-0.233135709734,0.00550275137569,0.233135709734
56,0.0328660501084,1135136350.56,-0.187964634773,-0.220830684882,0.0056028014007,0.220830684882
57,0.0328660501084,1135136350.56,-0.187964634773,-0.220830684882,0.00570285142571,0.220830684882
