DiffCorr,GPSTime,ResCorr,SigCorr,Timeshift
0.09623984184377044,1128678900.3,-0.3718254113701634,-0.46806525321393383,0.0
0.09623984184377044,1128678900.3001,-0.3718254113701634,-0.46806525321393383,0.00010005002501250626
0.09919443082450052,1128678900.3002,-0.3772374014105467,-0.4764318322350472,0.00020010005002501252
0.09991205532977204,1128678900.3003001,-0.3868865679412205,-0.48679862327099255,0.0003001500750375188
0.09991205532977204,1128678900.3004003,-0.3868865679412205,-0.48679862327099255,0.00040020010005002504
0.10301857524642227,1128678900.3005002,-0.3992824345259212,-0.5023010097723435,0.0005002501250625313
0.10301857524642227,1128678900.3006003,-0.3992824345259212,-0.5023010097723435,0.0006003001500750376
0.10558335592194834,1128678900.3007002,-0.40804842822603926,-0.5136317841479876,0.0007003501750875438
0.10558335592194834,1128678900.3008003,-0.40804842822603926,-0.5136317841479876,0.0008004002001000501
0.10558335592194834,1128678900.3009005,-0.40804842822603926,-0.5136317841479876,0.0009004502251125563
0.10777962995035117,1128678900.3010004,-0.41197418483057124,-0.5197538147809224,0.0010005002501250627
0.10777962995035117,1128678900.3011005,-0.41197418483057124,-0.5197538147809224,0.0011005502751375688
0.10985391283512735,1128678900.3012006,-0.4098500292903239,-0.5197039421254512,0.0012006003001500752
0.10985391283512735,1128678900.3013005,-0.4098500292903239,-0.5197039421254512,0.0013006503251625813
0.1094318038804099,1128678900.3014007,-0.4082115906311968,-0.5176433945116067,0.0014007003501750877
0.10989137598643756,1128678900.3015008,-0.4030066382992236,-0.5128980142856612,0.0015007503751875938
0.10989137598643756,1128678900.3016007,-0.4030066382992236,-0.5128980142856612,0.0016008004002001002
0.1108788709780748,1128678900.3017008,-0.3917004342963637,-0.5025793052744385,0.0017008504252126065
0.1108788709780748,1128678900.301801,-0.3917004342963637,-0.5025793052744385,0.0018009004502251126
0.11062537052804766,1128678900.3019009,-0.3842334045825015,-0.49485877511054915,0.001900950475237619
0.11320123615155425,1128678900.302001,-0.37389674455401806,-0.4870979807055723,0.0020010005002501254
0.11320123615155425,1128678900.302101,-0.37389674455401806,-0.4870979807055723,0.0021010505252626313
0.1153162022421535,1128678900.302201,-0.35118319828114003,-0.46649940052329353,0.0022011005502751376
0.1153162022421535,1128678900.3023012,-0.35118319828114003,-0.46649940052329353,0.002301150575287644
0.11526762234330373,1128678900.302401,-0.33959761513294,-0.45486523747624374,0.0024012006003001503
0.11660586621607194,1128678900.3025012,-0.3263822993931871,-0.442988165609259,0.0025012506253126567
0.11660586621607194,1128678900.3026013,-0.3263822993931871,-0.442988165609259,0.0026013006503251626
0.11915816963232784,1128678900.3027012,-0.30045554402364794,-0.4196137136559758,0.002701350675337669
0.11915816963232784,1128678900.3028014,-0.30045554402364794,-0.4196137136559758,0.0028014007003501753
0.11947354353701384,1128678900.3029015,-0.28582305960632143,-0.40529660314333527,0.0029014507253626817
0.11947354353701384,1128678900.3030014,-0.28582305960632143,-0.40529660314333527,0.0030015007503751876
0.11500330371800777,1128678900.3031015,-0.3030916596577296,-0.41809496337573737,0.003101550775387694
0.11716758282173567,1128678900.3032014,-0.3011473349868368,-0.4183149178085725,0.0032016008004002003
0.11716758282173567,1128678900.3033016,-0.3011473349868368,-0.4183149178085725,0.0033016508254127067
0.1145739027289524,1128678900.3034017,-0.32601204895646396,-0.44058595168541637,0.003401700850425213
0.1145739027289524,1128678900.3035016,-0.32601204895646396,-0.44058595168541637,0.003501750875437719
0.11018422376104342,1128678900.3036017,-0.35593736905930573,-0.46612159282034915,0.0036018009004502253
0.11152888556458201,1128678900.3037019,-0.35668469548534826,-0.46821358104993027,0.0037018509254627316
0.11152888556458201,1128678900.3038018,-0.35668469548534826,-0.46821358104993027,0.003801900950475238
0.1083247951042729,1128678900.303902,-0.38813577615038514,-0.49646057125465803,0.003901950975487744
0.1083247951042729,1128678900.304002,-0.38813577615038514,-0.49646057125465803,0.004002001000500251
0.10511240324574583,1128678900.304102,-0.41540148013605965,-0.5205138833818055,0.004102051025512757
0.10534121904478783,1128678900.304202,-0.4151594084889643,-0.5205006275337521,0.0042021010505252625
0.10534121904478783,1128678900.3043022,-0.4151594084889643,-0.5205006275337521,0.004302151075537769
0.10283884784189706,1128678900.304402,-0.4341214163150629,-0.53696026415696,0.004402201100550275
0.10283884784189706,1128678900.3045022,-0.4341214163150629,-0.53696026415696,0.004502251125562782
0.10159531154727153,1128678900.3046021,-0.4463698527897738,-0.5479651643370453,0.004602301150575288
0.10078703724370708,1128678900.3047023,-0.4442399966615165,-0.5450270339052236,0.004702351175587794
0.10078703724370708,1128678900.3048024,-0.4442399966615165,-0.5450270339052236,0.004802401200600301
0.09889090652258026,1128678900.3049023,-0.44765271159645004,-0.5465436181190303,0.004902451225612807
0.09889090652258026,1128678900.3050025,-0.44765271159645004,-0.5465436181190303,0.005002501250625313
0.09681189129431811,1128678900.3051026,-0.4482297705282756,-0.5450416618225937,0.005102551275637819
0.09681189129431811,1128678900.3052025,-0.4482297705282756,-0.5450416618225937,0.005202601300650325
0.0967648976365052,1128678900.3053026,-0.4482311898817456,-0.5449960875182508,0.005302651325662832
0.09440278708194472,1128678900.3054028,-0.4498351666630064,-0.5442379537449511,0.005402701350675338
0.09440278708194472,1128678900.3055027,-0.4498351666630064,-0.5442379537449511,0.005502751375687844
0.09179010021271061,1128678900.3056028,-0.45491544606193524,-0.5467055462746458,0.005602801400700351
0.09179010021271061,1128678900.3057027,-0.45491544606193524,-0.5467055462746458,0.0057028514257128566
